,JTXX_ID,ZXSZK,JKZK,CJDJ,CJLB,LDJN,SFSW,SFZP
45970,2787,0.0,2,0,0.0,3,1,1
37887,2787,0.0,2,0,0.0,4,1,1
37888,2788,0.0,2,0,0.0,4,1,0
37895,2789,1.0,1,0,0.0,5,1,0
37893,2789,6.0,1,0,0.0,5,1,0
37891,2789,3.0,1,0,0.0,5,1,0
37889,2789,0.0,3,0,0.0,4,1,0
37892,2789,1.0,1,0,0.0,5,1,0
37890,2789,0.0,4,4,1.0,3,1,0
37896,2790,0.0,1,0,0.0,2,1,0
37897,2790,5.0,1,0,0.0,5,1,0
37901,2791,2.0,1,0,0.0,5,1,0
37902,2791,2.0,1,0,0.0,5,1,0
37899,2791,0.0,1,0,0.0,2,1,0
37898,2791,0.0,1,0,0.0,3,1,0
37900,2791,0.0,1,0,0.0,2,1,0
37903,2792,0.0,1,0,0.0,2,1,0
37906,2792,0.0,1,0,0.0,2,1,0
37907,2792,1.0,1,0,0.0,5,1,0
37908,2792,2.0,1,0,0.0,5,1,0
37909,2792,2.0,1,0,0.0,5,1,0
37904,2792,0.0,1,0,0.0,2,1,0
37910,2793,0.0,4,1,4.0,4,1,0
38333,2794,0.0,2,0,0.0,4,1,0
37912,2794,0.0,2,0,0.0,4,1,0
37913,2795,0.0,4,4,5.0,3,1,1
37915,2795,0.0,1,0,0.0,2,1,1
37914,2795,0.0,1,0,0.0,5,1,1
37918,2796,0.0,4,3,2.0,3,1,1
37919,2797,0.0,4,1,4.0,4,1,0
37920,2797,0.0,2,0,0.0,3,1,0
38343,2798,0.0,1,0,0.0,2,1,1
37922,2798,0.0,4,1,4.0,4,1,1
37921,2798,0.0,4,0,0.0,3,1,1
38344,2799,4.0,1,0,0.0,5,1,0
38347,2800,5.0,4,2,3.0,5,1,1
38346,2800,0.0,2,0,0.0,3,1,1
38345,2800,0.0,4,2,4.0,3,1,1
38349,2800,5.0,4,2,3.0,5,1,1
38350,2801,0.0,4,2,1.0,4,1,0
38351,2801,0.0,4,4,1.0,4,1,0
38353,2802,0.0,1,0,0.0,2,1,0
38352,2802,0.0,2,0,0.0,3,1,0
38354,2803,0.0,4,2,1.0,4,1,0
38355,2803,0.0,4,0,0.0,3,1,0
38356,2803,0.0,1,0,0.0,2,1,0
38358,2804,0.0,4,2,2.0,4,1,0
38357,2804,0.0,2,0,0.0,3,1,0
38361,2805,0.0,1,0,0.0,2,1,0
38360,2805,0.0,4,4,1.0,3,1,0
38362,2806,0.0,2,0,0.0,3,1,0
51405,2806,0.0,1,0,0.0,2,1,0
38364,2806,0.0,1,0,0.0,2,1,0
38365,2807,0.0,4,2,5.0,4,1,0
38367,2808,0.0,4,1,7.0,3,1,0
38366,2808,0.0,4,4,1.0,3,1,0
38368,2808,0.0,1,0,0.0,2,1,0
38371,2809,0.0,2,0,0.0,3,1,0
38369,2809,0.0,4,4,1.0,3,1,0
38372,2810,0.0,4,2,1.0,4,1,0
38374,2810,0.0,4,3,2.0,3,1,0
38373,2810,0.0,2,0,0.0,3,1,0
51419,2810,0.0,1,0,0.0,2,1,0
51418,2810,11.0,1,0,0.0,2,1,0
51420,2811,0.0,4,3,2.0,4,1,0
51421,2811,0.0,1,0,0.0,3,1,0
51426,2812,2.0,1,0,0.0,5,1,1
51425,2812,7.0,1,0,0.0,2,1,1
51423,2812,0.0,4,2,1.0,4,1,1
51422,2812,0.0,4,4,1.0,3,1,1
51429,2813,0.0,1,0,0.0,2,1,1
51428,2813,0.0,2,0,0.0,3,1,1
51427,2813,0.0,2,0,0.0,3,1,1
51433,2814,0.0,1,0,0.0,3,1,0
51434,2814,0.0,2,0,0.0,3,1,0
51430,2814,0.0,1,0,0.0,2,1,0
51432,2814,6.0,1,0,0.0,5,1,0
51431,2814,3.0,1,0,0.0,5,1,0
51438,2815,0.0,1,0,0.0,2,1,0
51436,2815,0.0,4,2,1.0,3,1,0
51437,2815,0.0,4,1,7.0,4,1,0
51440,2816,0.0,1,0,0.0,2,1,0
51439,2816,0.0,1,0,0.0,2,1,0
51441,2817,0.0,2,0,0.0,4,1,1
51442,2817,0.0,4,2,1.0,4,1,1
51443,2818,0.0,4,2,1.0,3,1,0
51444,2818,0.0,2,0,0.0,4,1,0
51450,2819,3.0,1,0,0.0,5,1,0
51449,2819,4.0,1,0,0.0,5,1,0
51448,2819,8.0,1,0,0.0,2,1,0
51451,2819,0.0,2,0,0.0,4,1,0
51447,2819,0.0,4,4,1.0,3,1,0
51445,2819,0.0,4,4,1.0,3,1,0
46769,2820,0.0,1,0,0.0,2,1,0
51452,2820,0.0,4,2,4.0,4,1,0
46770,2820,5.0,1,0,0.0,5,1,0
51453,2820,0.0,1,0,0.0,3,1,0
46775,2821,5.0,1,0,0.0,5,1,0
46771,2821,0.0,1,0,0.0,3,1,0
46773,2821,0.0,2,0,0.0,3,1,0
46774,2821,0.0,1,0,0.0,2,1,0
46777,2822,6.0,1,0,0.0,5,1,0
46776,2822,0.0,4,4,1.0,3,1,0
46779,2823,0.0,2,0,0.0,3,1,0
46778,2823,0.0,2,0,0.0,3,1,0
46780,2824,0.0,1,0,0.0,3,1,0
46781,2824,0.0,4,2,1.0,4,1,0
46782,2824,0.0,1,0,0.0,2,1,0
46785,2825,11.0,1,0,0.0,5,1,0
46786,2825,15.0,1,0,0.0,2,1,0
47207,2825,0.0,1,0,0.0,2,1,0
46787,2826,0.0,4,2,1.0,4,1,1
46788,2826,6.0,1,0,0.0,5,1,1
46789,2826,3.0,1,0,0.0,5,1,1
46792,2827,6.0,1,0,0.0,5,1,0
46791,2827,6.0,1,0,0.0,5,1,0
46790,2827,0.0,1,0,0.0,2,1,0
